IR,PI,DD,TanDelta_20,TanDelta_100,Cap_TipUp
1.36,4.05,7.97,2.955,3.268,0.66
14.90,4.95,0.49,1.133,1.234,0.16
31.50,3.20,0.70,1.100,1.700,0.67
26.10,4.98,0.52,0.807,1.175,0.41
31.30,7.40,0.47,0.792,0.993,0.24
2.50,2.03,5.17,0.986,1.245,0.33
3.64,2.92,2.67,1.228,1.534,0.35
7.05,5.77,1.18,0.906,1.209,0.34
21.30,5.13,0.58,0.032,0.044,0.00
2.54,2.37,1.76,2.003,3.302,0.34
19.20,4.96,0.62,1.197,1.548,0.45
23.80,5.81,0.56,0.782,1.100,0.36
0.02,1.21,1.17,3.521,2.178,-5.66
8.16,3.50,1.26,1.750,1.930,0.26
17.60,6.51,0.44,0.887,0.061,0.21
2.01,1.63,0.93,1.723,1.979,0.27
36.80,6.47,0.20,0.756,0.314,0.47
31.00,5.50,0.23,0.931,1.251,0.45
25.90,3.87,0.21,0.535,0.962,0.66
0.66,2.43,8.21,15.297,19.050,6.45
6.84,2.06,0.54,0.793,1.178,0.46
17.90,5.21,0.50,1.559,1.184,0.16
5.74,6.52,1.46,1.840,2.001,0.22
12.40,4.98,0.76,0.945,1.066,0.17
4.66,2.01,0.61,0.542,0.593,0.10
7.24,2.39,0.46,0.570,0.659,0.10
6.43,1.84,0.49,0.520,0.605,0.14
2.11,2.20,1.65,0.579,0.666,0.09
5.31,2.27,0.50,0.537,0.573,0.05
14.80,6.10,1.33,1.760,1.990,0.10
5.56,4.00,2.87,1.480,1.540,-0.04
38.00,4.57,0.25,1.300,1.400,1.03
16.90,3.75,0.49,2.100,1.880,0.38
19.48,3.05,0.82,2.273,1.597,0.41
12.30,2.94,1.13,0.786,0.815,-0.04
